Name,Platform,Year_of_Release,Genre,Publisher/Developer,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Drop me
Super Wagyan Land,SNES,1991,Action,Namco Bandai Games,0,0,0.42,0,0.42,,,,,,,Namco Bandai Games
Rascal,PS,1998,Action,Psygnosis,0.24,0.16,0,0.03,0.42,,,,,,,Psygnosis
"Barbie: Jet, Set & Style!",DS,2011,Misc,THQ,0.34,0.05,0,0.03,0.42,,,,,,,THQ
Tony Hawk's American Wasteland,GC,2005,Sports,Activision,0.33,0.08,0,0.01,0.42,76,26,7.7,15,Neversoft Entertainment,T,Activision
Command & Conquer 3: Tiberium Wars,X360,2007,Strategy,Electronic Arts,0.35,0.04,0,0.03,0.42,,,,,,,Electronic Arts
Sin and Punishment: Star Successor,Wii,2009,Shooter,Nintendo,0.19,0.14,0.06,0.03,0.42,,,,,,,Nintendo
Crash: Mind Over Mutant,PSP,2008,Platform,Vivendi Games,0.11,0.2,0,0.11,0.42,,,6.5,8,Virtuos,E10+,Vivendi Games
Ben 10 Alien Force: Vilgax Attacks,DS,2009,Action,D3Publisher,0.22,0.16,0,0.04,0.42,,,,,D3Publisher,E,D3Publisher
Famicom Mini: Super Mario Bros. 2,GBA,2004,Platform,Nintendo,0,0,0.41,0.01,0.42,,,,,,,Nintendo
Colony Wars,PS,1997,Simulation,Psygnosis,0.24,0.16,0,0.03,0.42,91,12,7.8,12,Psygnosis,E,Psygnosis
All-Star Baseball 2004,PS2,2003,Sports,Acclaim Entertainment,0.21,0.16,0,0.05,0.42,78,19,7.5,11,Acclaim Studios Austin,E,Acclaim Entertainment
Big Strike Bowling,PS,2003,Sports,Gotham Games,0.23,0.16,0,0.03,0.42,,,,,,,Gotham Games
Skylanders: SuperChargers,X360,2015,Action,Activision,0.25,0.13,0,0.04,0.42,,,5.4,5,Vicarious Visions,E10+,Activision
Ben 10 Alien Force: Vilgax Attacks,PSP,2009,Action,D3Publisher,0.13,0.19,0,0.11,0.42,,,,,Papaya Studios,E10+,D3Publisher
NASCAR Thunder 2002,PS,2001,Racing,Electronic Arts,0.23,0.16,0,0.03,0.42,69,8,6.9,10,Black Box,E,Electronic Arts
Batman: Arkham Origins Blackgate,PSV,2013,Action,Warner Bros. Interactive Entertainment,0.16,0.17,0,0.1,0.42,61,38,6.8,106,Armature Studio,T,Warner Bros. Interactive Entertainment
Zone of the Enders HD Collection,PS3,2012,Simulation,Konami Digital Entertainment,0.21,0.07,0.09,0.05,0.42,73,27,8,42,High Voltage Software,M,Konami Digital Entertainment
Grandia,SAT,1997,Role-Playing,ESP,0,0,0.42,0,0.42,,,,,,,ESP
2010 FIFA World Cup South Africa,Wii,2010,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.42,70,19,6.7,11,Electronic Arts,E,Electronic Arts
ESPN NHL 2K5,XB,2004,Sports,Global Star,0.32,0.09,0,0.02,0.42,88,32,8.5,14,Kush Games,E,Global Star
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005,GBA,2005,Misc,Konami Digital Entertainment,0.3,0.11,0,0.01,0.42,,,,,,,Konami Digital Entertainment
Hot Wheels World Race,PS2,2003,Racing,THQ,0.21,0.16,0,0.05,0.42,55,5,7.7,9,Climax Group,E,THQ
Avatar: The Last Airbender - The Burning Earth,PS2,2007,Action,THQ,0.21,0.16,0,0.05,0.42,,,,,,,THQ
Superman: Shadow of Apokolips,PS2,2002,Action,Atari,0.21,0.16,0,0.05,0.42,64,22,7.2,9,Atari,E,Atari
Trials Fusion,PS4,2014,Racing,Ubisoft,0.13,0.22,0.01,0.07,0.42,79,51,7.2,244,RedLynx,E10+,Ubisoft
American Chopper,PS2,2004,Racing,Zoo Digital Publishing,0.35,0.01,0,0.06,0.42,47,4,7.5,13,Creat Studios,T,Zoo Digital Publishing
NASCAR Kart Racing,Wii,2009,Racing,Electronic Arts,0.39,0,0,0.03,0.42,70,12,8.1,9,Electronic Arts,E,Electronic Arts
Star Wars Trilogy: Apprentice of the Force,GBA,2004,Action,Ubisoft,0.3,0.11,0,0.01,0.42,60,21,,,Ubisoft,E,Ubisoft
Guitar Hero: Smash Hits,X360,2009,Misc,Activision,0.23,0.15,0,0.04,0.42,71,56,5.9,18,Beenox,T,Activision
Lemony Snicket's A Series of Unfortunate Events,GBA,2004,Platform,Activision,0.3,0.11,0,0.01,0.42,72,8,8,4,Griptonite Games,E,Activision
JGTC: All-Japan Grand Touring Car Championship,PS,1998,Racing,TYO,0.23,0.16,0,0.03,0.42,,,,,,,TYO
Virtua Tennis 4: World Tour,PSV,2011,Sports,Sega,0.04,0.28,0.01,0.09,0.42,,,,,,,Sega
Arc the Lad III,PS,1999,Role-Playing,Sony Computer Entertainment,0,0,0.39,0.03,0.42,,,,,,,Sony Computer Entertainment
Just Dance: Summer Party,Wii,2011,Misc,Ubisoft,0.4,0,0,0.02,0.42,,,,,Ubisoft,E10+,Ubisoft
SpongeBob's Truth or Square (US sales),DS,2009,Action,THQ,0.42,0,0,0,0.42,,,,,,,THQ
Mobile Suit Gundam: Gundam vs. Gundam,PSP,2008,Fighting,Namco Bandai Games,0,0,0.42,0,0.42,,,,,,,Namco Bandai Games
Test Drive,XB,2002,Racing,Atari,0.35,0.05,0,0.02,0.42,71,16,8.7,10,Pitbull Syndicate,T,Atari
Jikkyou Powerful Pro Yakyuu 11,PS2,2004,Sports,Konami Digital Entertainment,0,0,0.42,0,0.42,,,,,,,Konami Digital Entertainment
Petz: Horsez 2,Wii,2007,Simulation,Ubisoft,0.39,0,0,0.03,0.42,,,,,Phoenix Games Studio,E,Ubisoft
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,PS2,2003,Action,THQ,0.21,0.16,0,0.05,0.42,,,,,,,THQ
Pirates of the Caribbean: At World's End,PSP,2007,Action,Disney Interactive Studios,0.15,0.17,0,0.1,0.42,61,5,7,11,Eurocom Entertainment Software,T,Disney Interactive Studios
Dr. Mario 64,N64,2001,Puzzle,Nintendo,0.34,0.07,0,0,0.42,,,,,,,Nintendo
Jikkyou Powerful Pro Yakyuu 6,N64,1999,Sports,Konami Digital Entertainment,0,0,0.39,0.03,0.42,,,,,,,Konami Digital Entertainment
Army Men: Sarge's Heroes 2,N64,2000,Shooter,3DO,0.34,0.07,0,0,0.42,,,,,,,3DO
Rush 2: Extreme Racing USA,N64,1998,Racing,Midway Games,0.35,0.06,0,0,0.42,,,,,,,Midway Games
NFL Blitz 2001,N64,2000,Sports,Midway Games,0.34,0.07,0,0,0.42,,,,,,,Midway Games
James Bond 007: Everything or Nothing,GC,2004,Shooter,Electronic Arts,0.32,0.08,0,0.01,0.42,84,41,8.2,25,EA Redwood Shores,T,Electronic Arts
NBA Live 06,PSP,2005,Sports,Electronic Arts,0.39,0,0,0.03,0.42,80,18,7.6,13,EA Canada,E,Electronic Arts
MLB 08: The Show,PS2,2008,Sports,Sony Computer Entertainment,0.35,0.01,0,0.06,0.42,84,12,7.3,7,SCEA San Diego Studios,E,Sony Computer Entertainment
Horsez,DS,2006,Simulation,Ubisoft,0.38,0.01,0,0.03,0.42,,,8.7,14,Virtual Toys,E,Ubisoft
Dance Dance Revolution Ultramix 2,XB,2004,Simulation,Konami Digital Entertainment,0.32,0.09,0,0.02,0.42,78,16,7.1,7,Konami Computer Entertainment Hawaii,E,Konami Digital Entertainment
Mega Man Anniversary Collection,GC,2004,Platform,Capcom,0.32,0.08,0,0.01,0.42,81,32,8.8,17,Atomic Planet Entertainment,E,Capcom
Crash: Mind Over Mutant,DS,2008,Platform,Vivendi Games,0.38,0,0,0.03,0.42,45,12,5.8,8,TOSE,E,Vivendi Games
Super Famista 4,SNES,1995,Sports,Namco Bandai Games,0,0,0.42,0,0.42,,,,,,,Namco Bandai Games
The Fairly Odd Parents: Game Boy Advance Video Volume 2,GBA,2004,Misc,N/A,0.3,0.11,0,0.01,0.42,,,,,,,N/A
How to Train Your Dragon,Wii,2010,Action,Activision,0.23,0.15,0,0.04,0.42,59,11,7,4,Etranges Libellules,E10+,Activision
Cabela's Legendary Adventures,PS2,2008,Sports,Activision,0.21,0.16,0,0.05,0.42,,,,,Sand Grain Studios,T,Activision
Story of Seasons,3DS,2014,Simulation,Nintendo,0,0.14,0.27,0.01,0.42,76,39,8.2,54,Marvelous AQL,E10+,Nintendo
Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!,DS,2010,Misc,Namco Bandai Games,0,0,0.42,0,0.42,,,,,,,Namco Bandai Games
Harry Potter and the Goblet of Fire,GC,2005,Action,Electronic Arts,0.32,0.08,0,0.01,0.42,69,20,6.3,13,Electronic Arts,E10+,Electronic Arts
Thrillville: Off the Rails,PS2,2007,Strategy,LucasArts,0.2,0.16,0,0.05,0.42,70,11,1.7,30,Frontier Developments,E10+,LucasArts
Metro: Last Light,PS3,2013,Action,Deep Silver,0.14,0.18,0.03,0.07,0.42,80,23,8.2,508,4A Games,,Deep Silver
NBA 2K11,PSP,2010,Action,Take-Two Interactive,0.39,0,0,0.03,0.42,,,6.4,5,Visual Concepts,E,Take-Two Interactive
Mega Man X6,PS,2001,Action,Capcom,0.14,0.1,0.16,0.03,0.42,65,14,6.8,44,Capcom,E,Capcom
BloodRayne,PS2,2002,Shooter,Universal Interactive,0.2,0.16,0,0.05,0.42,75,18,8.5,26,Terminal Reality,M,Universal Interactive
Kumamon Bomber: Puzzle de Kumamon Taisou,GC,2005,Puzzle,Sega,0.32,0.08,0,0.01,0.42,,,,,,,Sega
Castlevania: Curse of Darkness,PS2,2005,Action,Konami Digital Entertainment,0.18,0.14,0.05,0.05,0.42,70,30,7.5,46,Konami,M,Konami Digital Entertainment
NBA 2K13,Wii,2012,Sports,Take-Two Interactive,0.36,0.03,0,0.03,0.42,,,7.5,10,Virtuos,E,Take-Two Interactive
International Superstar Soccer Pro '98,PS,1998,Sports,Konami Digital Entertainment,0.02,0.02,0.35,0.03,0.42,,,,,,,Konami Digital Entertainment
LEGO Rock Band,PS3,2009,Misc,Warner Bros. Interactive Entertainment,0.24,0.12,0,0.06,0.42,75,36,7.6,18,TT Fusion,E10+,Warner Bros. Interactive Entertainment
Jimmy Neutron: Boy Genius,GBA,2001,Platform,THQ,0.3,0.11,0,0.01,0.42,,,,,,,THQ
Black,XB,2006,Shooter,Electronic Arts,0.31,0.09,0,0.01,0.42,77,65,8,51,Criterion Games,M,Electronic Arts
Double Pack: Finding Nemo / The Incredibles,XB,2006,Action,THQ,0.31,0.09,0,0.01,0.42,,,,,,,THQ
Spec Ops: The Line,X360,2012,Shooter,Take-Two Interactive,0.21,0.17,0,0.04,0.42,76,59,8.2,319,Yager,M,Take-Two Interactive
NHL Slapshot,Wii,N/A,Sports,EA Sports,0.39,0,0,0.02,0.42,76,25,8.1,7,EA Sports,E,Unknown
Paper Mario: Color Splash,WiiU,2016,Role-Playing,Nintendo,0.2,0.14,0.05,0.03,0.42,75,72,6.8,208,"Nintendo, Intelligent Systems",E,Nintendo
Valkyrie Profile: Covenant of the Plume,DS,2008,Role-Playing,Square Enix,0.22,0.02,0.16,0.02,0.42,74,35,6.8,12,Tri-Ace,T,Square Enix
Vanquish,X360,2010,Shooter,Sega,0.19,0.16,0.03,0.04,0.42,84,70,8.4,182,PlatinumGames,M,Sega
Solitaire Overload,DS,2007,Misc,Telegames,0.39,0,0,0.03,0.42,,,9.2,12,Telegames,E,Telegames
TRON: Evolution,PS3,2010,Action,Disney Interactive Studios,0.27,0.09,0,0.05,0.42,58,47,6.2,28,Propaganda Games,T,Disney Interactive Studios
Lord of the Rings: The Third Age,XB,2004,Role-Playing,Electronic Arts,0.31,0.09,0,0.01,0.42,,,,,,,Electronic Arts
Pirates of the Caribbean: At World's End,PS2,2007,Action,Disney Interactive Studios,0.2,0.16,0,0.05,0.42,54,10,7,10,Eurocom Entertainment Software,T,Disney Interactive Studios
Mega Man Legends 2,PS,2000,Adventure,Capcom,0.17,0.12,0.1,0.03,0.42,76,10,8.8,29,Capcom,E,Capcom
X-Men vs. Street Fighter,PS,1997,Fighting,Capcom,0.16,0.11,0.12,0.03,0.42,,,,,,,Capcom
Blazing Angels: Squadrons of WWII,X360,2006,Simulation,Ubisoft,0.36,0.02,0,0.03,0.42,66,58,7.9,53,Ubisoft,T,Ubisoft
Zack & Wiki: Quest for Barbaros' Treasure,Wii,2007,Adventure,Nintendo,0.18,0.16,0.03,0.04,0.42,,,,,,,Nintendo
High Rollers Casino,PS2,2004,Misc,Mud Duck Productions,0.2,0.16,0,0.05,0.42,,,,,Virtual Toys,E,Mud Duck Productions
TERA,PC,N/A,Role-Playing,Bluehole Studio,0.25,0.12,0,0.05,0.42,77,41,6.8,742,Bluehole Studio,M,Unknown
Attack on Titan: Humanity in Chains,3DS,2013,Action,Screenlife,0,0,0.42,0,0.42,46,22,4.5,34,Spike Chunsoft,M,Screenlife
The Suffering,PS2,2004,Action,Midway Games,0.2,0.16,0,0.05,0.42,77,47,8.9,40,Surreal Software,M,Midway Games
Cyber Troopers Virtual-On,SAT,1995,Fighting,Sega,0,0,0.42,0,0.42,,,,,,,Sega
Star Wars Starfighter: Special Edition,XB,2001,Simulation,LucasArts,0.3,0.1,0,0.02,0.42,76,22,,,Secret Level,T,LucasArts
Animal Crossing: Amiibo Festival,WiiU,2015,Misc,Nintendo,0.19,0.11,0.09,0.03,0.41,46,20,4.4,173,"Nintendo, Nd Cube",E,Nintendo
NBA Jam,PS2,2003,Sports,Acclaim Entertainment,0.2,0.16,0,0.05,0.41,,,,,,,Acclaim Entertainment
Zone of the Enders: The 2nd Runner,PS2,2003,Simulation,Konami Digital Entertainment,0.15,0.12,0.11,0.04,0.41,82,33,8.9,65,KCEJ,M,Konami Digital Entertainment
Just Dance 2014,PS4,2013,Misc,Ubisoft,0.19,0.16,0,0.07,0.41,75,4,5.5,51,Ubisoft,E10+,Ubisoft
Jampack Spring 2004 (RP-T),PS2,2003,Misc,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41,,,,,,,Sony Computer Entertainment
Dexter's Laboratory Deesaster Strikes,GBA,2001,Adventure,BAM! Entertainment,0.3,0.11,0,0.01,0.41,,,,,,,BAM! Entertainment
NFL GameDay 2004,PS2,2003,Sports,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41,65,25,8.7,6,989 Sports,E,Sony Computer Entertainment
Condemned: Criminal Origins,X360,2005,Action,Sega,0.36,0.02,0,0.03,0.41,81,72,8.2,146,Monolith Productions,M,Sega
Scooby-Doo and the Cyber Chase,GBA,2001,Adventure,Ubisoft,0.3,0.11,0,0.01,0.41,,,,,,,Ubisoft
Wheel of Fortune,DS,2010,Misc,THQ,0.39,0,0,0.03,0.41,,,,,THQ,E,THQ
Tomb Raider: The Last Revelation,PC,1998,Action,Eidos Interactive,0.41,0,0,0,0.41,,,8.6,50,Core Design Ltd.,T,Eidos Interactive
pro evolution soccer 2011,PS2,2010,Sports,Konami Digital Entertainment,0.04,0.21,0.05,0.11,0.41,,,6.7,7,Konami,E,Konami Digital Entertainment
Sega Rally Championship 2,DC,1999,Racing,Sega,0,0,0.41,0,0.41,,,,,,,Sega
Quake II,PS,1998,Shooter,Activision,0.23,0.16,0,0.03,0.41,,,,,,,Activision
Crash of the Titans,PS2,2007,Action,Vivendi Games,0.34,0.01,0,0.06,0.41,70,12,5.9,48,Radical Entertainment,E10+,Vivendi Games
EA Sports UFC 2,XOne,2016,Sports,Electronic Arts,0.24,0.14,0,0.04,0.41,76,42,6,77,EA Sports,T,Electronic Arts
MLB 10: The Show,PS2,2010,Sports,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41,,,,,SCEA,E,Sony Computer Entertainment
Wheel of Fortune: 2nd Edition,PS,2000,Misc,Hasbro Interactive,0.23,0.16,0,0.03,0.41,,,,,,,Hasbro Interactive
Tom Clancy's Rainbow Six: Lockdown,XB,2005,Shooter,Ubisoft,0.26,0.13,0,0.02,0.41,74,39,6.6,28,"Red Storm Entertainment, Ubisoft Montreal",M,Ubisoft
Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,PSP,2009,Fighting,Namco Bandai Games,0,0,0.41,0,0.41,,,,,,,Namco Bandai Games
TimeShift,X360,2007,Shooter,Vivendi Games,0.36,0.02,0,0.03,0.41,70,58,7.9,63,Saber Interactive,M,Vivendi Games
Cool Boarders 2001,PS,2000,Sports,Sony Computer Entertainment,0.23,0.16,0,0.03,0.41,56,10,,,Idol Minds,E,Sony Computer Entertainment
Grudge Warriors,PS,1999,Action,Take-Two Interactive,0.23,0.16,0,0.03,0.41,,,,,,,Take-Two Interactive
Farming Simulator 17,PS4,2016,Simulation,Focus Home Interactive,0.05,0.31,0,0.06,0.41,69,17,8.7,12,Maximum Games,E,Focus Home Interactive
World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,PS,2000,Sports,Konami Digital Entertainment,0,0,0.39,0.03,0.41,,,,,,,Konami Digital Entertainment
Castlevania: The Dracula X Chronicles,PSP,2007,Platform,Konami Digital Entertainment,0.22,0.09,0.04,0.07,0.41,80,43,7.8,62,Konami,T,Konami Digital Entertainment
Mobile Suit Gundam,SAT,1995,Action,Namco Bandai Games,0,0,0.41,0,0.41,,,,,,,Namco Bandai Games
Tom Clancy's HAWX 2,PS3,2010,Action,Ubisoft,0.21,0.12,0.03,0.05,0.41,70,30,6.8,19,Ubisoft,T,Ubisoft
Battlefield: Hardline,PS3,2015,Shooter,Electronic Arts,0.13,0.15,0.07,0.06,0.41,,,5.3,81,Visceral Games,M,Electronic Arts
Jimmy Neutron: Boy Genius,PS2,2002,Platform,THQ,0.2,0.16,0,0.05,0.41,,,5.8,5,THQ,E,THQ
Itadaki Street DS,DS,2007,Misc,Square Enix,0,0,0.41,0,0.41,,,,,,,Square Enix
X-Men: The Official Game,PS2,2006,Action,Activision,0.2,0.16,0,0.05,0.41,52,44,7.5,20,"Z-Axis, Ltd.",T,Activision
Terraria,PS3,2013,Action,505 Games,0.07,0.2,0.09,0.05,0.41,81,12,7.9,70,Engine Software,T,505 Games
LEGO Dimensions,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.22,0.15,0,0.04,0.41,80,12,6.9,27,Traveller's Tales,E10+,Warner Bros. Interactive Entertainment
Football Manager Handheld 2011,PSP,2010,Sports,Sega,0,0.27,0,0.14,0.41,77,5,7.7,6,Sports Interactive,E,Sega
300: March to Glory,PSP,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0,0.07,0.41,55,31,7.1,14,Collision Studios,M,Warner Bros. Interactive Entertainment
Marvel Super Hero Squad,DS,2009,Fighting,THQ,0.36,0.02,0,0.03,0.41,61,4,2.8,4,THQ,E10+,THQ
Call of Duty: Modern Warfare: Mobilized,DS,2009,Shooter,Activision,0.36,0.02,0,0.03,0.41,,,,,,,Activision
NHL 15,XOne,2014,Sports,Electronic Arts,0.31,0.06,0,0.04,0.41,59,22,3.2,180,EA Sports,E10+,Electronic Arts
E0: Enemy Zero,SAT,1996,Adventure,Sega,0,0,0.41,0,0.41,,,,,,,Sega
Tom Clancy's The Division,PC,2016,Shooter,Ubisoft,0.22,0.15,0,0.04,0.41,79,33,5.8,1188,Massive Entertainment,M,Ubisoft
Yu-Gi-Oh! GX: Tag Force 2,PSP,2007,Strategy,Konami Digital Entertainment,0.03,0.19,0.1,0.1,0.41,,,,,,,Konami Digital Entertainment
Nicktoons: Unite!,PS2,2005,Adventure,THQ,0.34,0.01,0,0.06,0.41,,,,,,,THQ
JumpStart: Escape from Adventure Island,Wii,2009,Adventure,Knowledge Adventure,0.38,0,0,0.03,0.41,68,8,,,Knowledge Adventure Inc.,E,Knowledge Adventure
Green Day: Rock Band,PS3,2010,Misc,MTV Games,0.19,0.15,0,0.06,0.41,76,41,6.3,24,"Harmonix Music Systems, Demiurge Studios",T,MTV Games
NASCAR Racing,PS,1996,Racing,Pioneer LDC,0.23,0.16,0,0.03,0.41,,,,,,,Pioneer LDC
FIFA 14,PSV,2013,Sports,Electronic Arts,0.08,0.23,0.01,0.09,0.41,,,1.8,69,EA Canada,E,Electronic Arts
Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki,Wii,2009,Misc,Hudson Soft,0,0,0.41,0,0.41,,,,,,,Hudson Soft
Cars: Race-O-Rama,PSP,2009,Racing,THQ,0.29,0.07,0,0.06,0.41,,,,,Tantalus Interactive,E,THQ
Boku no Natsuyasumi 2: Umi no Bouken Hen,PS2,2002,Adventure,Sony Computer Entertainment,0,0,0.41,0,0.41,,,,,,,Sony Computer Entertainment
F1 2014,PS3,2014,Racing,Codemasters,0.07,0.26,0.02,0.06,0.41,62,19,4.1,28,Codemasters Birmingham,E,Codemasters
Command & Conquer: Red Alert,PS,1997,Strategy,Virgin Interactive,0.23,0.16,0,0.03,0.41,,,,,,,Virgin Interactive
Cars: Mater-National Championship,PS3,2007,Racing,THQ,0.37,0.01,0,0.03,0.41,63,8,4.8,4,Rainbow Studios,E,THQ
Call of Duty: Black Ops II,WiiU,2012,Shooter,Activision,0.2,0.18,0,0.03,0.41,81,31,6.9,228,Treyarch,M,Activision
Ogre Battle 64: Person of Lordly Caliber,N64,1999,Role-Playing,Nintendo,0.1,0.02,0.25,0.04,0.41,,,,,,,Nintendo
Superman: The New Superman Adventures,N64,1999,Action,Titus,0.33,0.07,0,0,0.41,,,,,,,Titus
Dig Dug,NES,1985,Puzzle,Namco Bandai Games,0,0,0.41,0,0.41,,,,,,,Namco Bandai Games
BioShock,PC,2007,Shooter,Take-Two Interactive,0.01,0.39,0,0.02,0.41,96,44,8.5,3606,"Irrational Games, 2K Marin",M,Take-Two Interactive
The Terminator: Dawn of Fate,PS2,2002,Action,Atari,0.2,0.16,0,0.05,0.41,58,17,5.7,18,Paradigm Entertainment,T,Atari
Rogue Galaxy: Director's Cut,PS2,2007,Role-Playing,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41,,,,,,,Sony Computer Entertainment
Armored Core,PS,1997,Simulation,Sony Computer Entertainment,0.13,0.09,0.16,0.03,0.41,,,,,,,Sony Computer Entertainment
The Smurfs,DS,2011,Action,Ubisoft,0.23,0.14,0,0.04,0.41,,,,,Land Ho!,E,Ubisoft
Densha De Go! 2,PS,1999,Simulation,Taito,0,0,0.38,0.03,0.41,,,,,,,Taito
Medal of Honor Heroes 2,Wii,2007,Shooter,Electronic Arts,0.33,0.04,0.01,0.03,0.41,73,37,7.6,82,EA Canada,T,Electronic Arts
Top Spin 4,X360,2011,Sports,Take-Two Interactive,0.15,0.22,0,0.04,0.41,84,54,8.2,70,2K Czech,E,Take-Two Interactive
James Patterson Women's Murder Club: Games of Passion,DS,2009,Adventure,THQ,0.15,0.22,0,0.05,0.41,53,8,,,THQ,T,THQ
Band Hero,PS2,2009,Misc,Activision,0.15,0.06,0,0.2,0.41,,,4.4,7,BudCat,E10+,Activision
Armored Core 2: Another Age,PS2,2001,Simulation,Metro 3D,0.11,0.08,0.19,0.03,0.41,75,16,8.8,30,From Software,T,Metro 3D
Buzz! Junior: Jungle Party,PS2,2006,Misc,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41,,,,,,,Sony Computer Entertainment
God Eater 2: Rage Burst,PSV,2015,Role-Playing,Namco Bandai Games,0,0.03,0.37,0.01,0.41,,,8.1,16,Shift,T,Namco Bandai Games
Mortal Kombat: Deadly Alliance,GC,2002,Fighting,Midway Games,0.31,0.08,0,0.01,0.41,81,20,8.7,43,Midway,M,Midway Games
NBA 2K11,PS2,2010,Action,Take-Two Interactive,0.34,0.01,0,0.06,0.41,,,,,Visual Concepts,E,Take-Two Interactive
AKB1/48: Idol to Koishitara...,PSP,2010,Misc,Namco Bandai Games,0,0,0.41,0,0.41,,,,,,,Namco Bandai Games
Pro Pinball,PS,1996,Misc,Empire Interactive,0.23,0.15,0,0.03,0.41,,,,,,,Empire Interactive
NiGHTS: Journey of Dreams,Wii,2007,Platform,Sega,0.32,0.02,0.04,0.03,0.41,69,47,8.5,55,"Sega, Sonic Team",E,Sega
'98 Koshien,PS,1998,Sports,Magical Company,0.15,0.1,0.12,0.03,0.41,,,,,,,Magical Company
Harvest Moon: Grand Bazaar,DS,2008,Simulation,Rising Star Games,0.21,0.05,0.13,0.02,0.41,,,,,,,Rising Star Games
NBA 2K9,PS2,2008,Sports,Take-Two Interactive,0.34,0.01,0,0.06,0.41,,,8,4,Visual Concepts,E,Take-Two Interactive
Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),GBA,2001,Misc,Konami Digital Entertainment,0,0,0.4,0.01,0.41,,,,,,,Konami Digital Entertainment
Up,PSP,2009,Action,THQ,0.24,0.09,0,0.07,0.41,,,,,Asobo Studio,E,THQ
Hatsune Miku: Project Diva 2nd,PSP,2010,Misc,Sega,0,0,0.41,0,0.41,,,,,,,Sega
Marvel: Ultimate Alliance 2,PS2,2009,Role-Playing,Activision,0.23,0.02,0,0.16,0.41,,,4.6,15,n-Space,T,Activision
Monster Jam: Urban Assault,Wii,2008,Racing,Activision,0.38,0,0,0.03,0.41,,,7.8,6,Torus Games,E,Activision
Call of Duty: Advanced Warfare,PC,2014,Shooter,Activision,0.15,0.23,0,0.03,0.41,78,18,4.5,1136,Sledgehammer Games,M,Activision
Mario no Super Picross,SNES,1995,Puzzle,Nintendo,0,0,0.41,0,0.41,,,,,,,Nintendo
UEFA Euro 2008 Austria-Switzerland,PS3,2008,Sports,Electronic Arts,0.08,0.26,0,0.06,0.41,,,,,,,Electronic Arts
"Ed, Edd n Eddy: The Mis-Edventures",PS2,2005,Platform,Midway Games,0.34,0.01,0,0.06,0.41,50,5,7.6,16,Artificial Mind and Movement,E,Midway Games
Jikkyou Powerful Pro Yakuu '94,SNES,1994,Sports,Konami Digital Entertainment,0,0,0.41,0,0.41,,,,,,,Konami Digital Entertainment
Disney's Tarzan Untamed,PS2,2001,Platform,Ubisoft,0.2,0.16,0,0.05,0.41,59,7,7.1,7,Ubisoft,E,Ubisoft
WWE All Stars,PS3,2011,Fighting,THQ,0.16,0.18,0,0.07,0.41,75,51,6.4,36,THQ,T,THQ
Green Day: Rock Band,X360,2010,Misc,MTV Games,0.24,0.13,0,0.04,0.41,75,54,6.6,32,"Harmonix Music Systems, Demiurge Studios",T,MTV Games
Harry Potter and the Deathly Hallows - Part 1,DS,2010,Action,Electronic Arts,0.19,0.18,0,0.04,0.41,56,6,6,4,Full Fat,E10+,Electronic Arts
Resistance: Burning Skies,PSV,2012,Shooter,Sony Computer Entertainment,0.18,0.15,0.02,0.06,0.41,60,63,6.8,245,Nihilistic,M,Sony Computer Entertainment
Battlefield 2: Modern Combat,X360,2006,Shooter,Electronic Arts,0.35,0.02,0.01,0.03,0.41,77,54,7.3,79,Digital Illusions,T,Electronic Arts
Rocksmith 2014,XOne,2014,Misc,Ubisoft,0.29,0.08,0,0.04,0.41,,,,,,,Ubisoft
Knockout Kings 2001,PS,2000,Fighting,Electronic Arts,0.23,0.15,0,0.03,0.41,84,11,8.5,6,EA Sports,T,Electronic Arts
From Russia With Love,PS2,2005,Action,Electronic Arts,0.34,0.01,0,0.06,0.41,69,29,7.6,36,EA Redwood Shores,T,Electronic Arts
Fantastic Pets,X360,2011,Simulation,THQ,0.3,0.08,0,0.03,0.41,66,11,7.5,4,Blitz Games Studios,E,THQ
BlazBlue: Continuum Shift,PS3,2010,Fighting,PQube,0.21,0.07,0.09,0.04,0.41,87,29,8,65,Arc System Works,T,PQube
Duke Nukem Forever,PC,2011,Shooter,Take-Two Interactive,0.18,0.17,0,0.06,0.41,54,48,5.7,1183,"Gearbox Software, 3D Realms",M,Take-Two Interactive
Dragon Quest X,WiiU,2013,Role-Playing,Square Enix,0,0,0.41,0,0.41,,,,,Square Enix,,Square Enix
